Aatrox
Ahri OriginalSquare.pngAhri
Akali OriginalSquare.pngAkali
Akshan OriginalSquare.pngAkshan
Alistar OriginalSquare.pngAlistar
Amumu OriginalSquare.pngAmumu
Anivia OriginalSquare.pngAnivia
Annie OriginalSquare.pngAnnie
Aphelios OriginalSquare.pngAphelios
Ashe OriginalSquare.pngAshe
Aurelion Sol OriginalSquare.pngAurelion Sol
Azir OriginalSquare.pngAzir
Bard OriginalSquare.pngBard
Blitzcrank OriginalSquare.pngBlitzcrank
Brand OriginalSquare.pngBrand
Braum OriginalSquare.pngBraum
Caitlyn OriginalSquare.pngCaitlyn
Camille OriginalSquare.pngCamille
Cassiopeia OriginalSquare.pngCassiopeia
Cho'Gath OriginalSquare.pngCho'Gath
Corki OriginalSquare.pngCorki
Darius OriginalSquare.pngDarius
Diana OriginalSquare.pngDiana
Dr. Mundo OriginalSquare.pngDr. Mundo
Draven OriginalSquare.pngDraven
Ekko OriginalSquare.pngEkko
Elise OriginalSquare.pngElise
Evelynn OriginalSquare.pngEvelynn
Ezreal OriginalSquare.pngEzreal
Fiddlesticks OriginalSquare.pngFiddlesticks
Fiora OriginalSquare.pngFiora
Fizz OriginalSquare.pngFizz
Galio OriginalSquare.pngGalio
Gangplank OriginalSquare.pngGangplank
Garen OriginalSquare.pngGaren
Gnar OriginalSquare.pngGnar
Gragas OriginalSquare.pngGragas
Graves OriginalSquare.pngGraves
Gwen OriginalSquare.pngGwen
Hecarim OriginalSquare.pngHecarim
Heimerdinger OriginalSquare.pngHeimerdinger
Illaoi OriginalSquare.pngIllaoi
Irelia OriginalSquare.pngIrelia
Ivern OriginalSquare.pngIvern
Janna OriginalSquare.pngJanna
Jarvan IV OriginalSquare.pngJarvan IV
Jax OriginalSquare.pngJax
Jayce OriginalSquare.pngJayce
Jhin OriginalSquare.pngJhin
Jinx OriginalSquare.pngJinx
Kai'Sa OriginalSquare.pngKai'Sa
Kalista OriginalSquare.pngKalista
Karma OriginalSquare.pngKarma
Karthus OriginalSquare.pngKarthus
Kassadin OriginalSquare.pngKassadin
Katarina OriginalSquare.pngKatarina
Kayle OriginalSquare.pngKayle
Kayn OriginalSquare.pngKayn
Kennen OriginalSquare.pngKennen
Kha'Zix OriginalSquare.pngKha'Zix
Kindred OriginalSquare.pngKindred
Kled OriginalSquare.pngKled
Kog'Maw OriginalSquare.pngKog'Maw
LeBlanc OriginalSquare.pngLeBlanc
Lee Sin OriginalSquare.pngLee Sin
Leona OriginalSquare.pngLeona
Lillia OriginalSquare.pngLillia
Lissandra OriginalSquare.pngLissandra
Lucian OriginalSquare.pngLucian
Lulu OriginalSquare.pngLulu
Lux OriginalSquare.pngLux
Malphite OriginalSquare.pngMalphite
Malzahar OriginalSquare.pngMalzahar
Maokai OriginalSquare.pngMaokai
Master Yi OriginalSquare.pngMaster Yi
Miss Fortune OriginalSquare.pngMiss Fortune
Mordekaiser OriginalSquare.pngMordekaiser
Morgana OriginalSquare.pngMorgana
Nami OriginalSquare.pngNami
Nasus OriginalSquare.pngNasus
Nautilus OriginalSquare.pngNautilus
Neeko OriginalSquare.pngNeeko
Nidalee OriginalSquare.pngNidalee
Nocturne OriginalSquare.pngNocturne
Nunu OriginalSquare.pngNunu & Willump
Olaf OriginalSquare.pngOlaf
Orianna OriginalSquare.pngOrianna
Ornn OriginalSquare.pngOrnn
Pantheon OriginalSquare.pngPantheon
Poppy OriginalSquare.pngPoppy
Pyke OriginalSquare.pngPyke
Qiyana OriginalSquare.pngQiyana
Quinn OriginalSquare.pngQuinn
Rakan OriginalSquare.pngRakan
Rammus OriginalSquare.pngRammus
Rek'Sai OriginalSquare.pngRek'Sai
Rell OriginalSquare.pngRell
Renekton OriginalSquare.pngRenekton
Rengar OriginalSquare.pngRengar
Riven OriginalSquare.pngRiven
Rumble OriginalSquare.pngRumble
Ryze OriginalSquare.pngRyze
Samira OriginalSquare.pngSamira
Sejuani OriginalSquare.pngSejuani
Senna OriginalSquare.pngSenna
Seraphine OriginalSquare.pngSeraphine
Sett OriginalSquare.pngSett
Shaco OriginalSquare.pngShaco
Shen OriginalSquare.pngShen
Shyvana OriginalSquare.pngShyvana
Singed OriginalSquare.pngSinged
Sion OriginalSquare.pngSion
Sivir OriginalSquare.pngSivir
Skarner OriginalSquare.pngSkarner
Sona OriginalSquare.pngSona
Soraka OriginalSquare.pngSoraka
Swain OriginalSquare.pngSwain
Sylas OriginalSquare.pngSylas
Syndra OriginalSquare.pngSyndra
Tahm Kench OriginalSquare.pngTahm Kench
Taliyah OriginalSquare.pngTaliyah
Talon OriginalSquare.pngTalon
Taric OriginalSquare.pngTaric
Teemo OriginalSquare.pngTeemo
Thresh OriginalSquare.pngThresh
Tristana OriginalSquare.pngTristana
Trundle OriginalSquare.pngTrundle
Tryndamere OriginalSquare.pngTryndamere
Twisted Fate OriginalSquare.pngTwisted Fate
Twitch OriginalSquare.pngTwitch
Udyr OriginalSquare.pngUdyr
Urgot OriginalSquare.pngUrgot
Varus OriginalSquare.pngVarus
Vayne OriginalSquare.pngVayne
Veigar OriginalSquare.pngVeigar
Vel'Koz OriginalSquare.pngVel'Koz
Vex OriginalSquare.pngVex
Vi OriginalSquare.pngVi
Viego OriginalSquare.pngViego
Viktor OriginalSquare.pngViktor
Vladimir OriginalSquare.pngVladimir
Volibear OriginalSquare.pngVolibear
Warwick OriginalSquare.pngWarwick
Wukong OriginalSquare.pngWukong
Xayah OriginalSquare.pngXayah
